#score	card name	comments
17.7791	Mark of Mutiny	gain control until end of turn, put +1/+1, gain haste*
17.491	Valakut, the Molten Pinnacle	trigger when mountain enters bf and you control at least five other mountains
17.4463	Cryptic Command	choose two of four effects
17.4182	Halimar Depths	look at lib
17.194	Summoning Trap	alternate casting cost, look at lib
17.174	Dragonskull Summit	implemented
17.1534	Black Sun's Zenith	implemented
17.1135	Brainstorm	put cards in lib in order
16.6633	Kor Firewalker	protection from red, cast a red spell gain 1 life*
16.6366	Razorverge Thicket	implemented
16.6325	Nature's Claim	destory target artifact or enchantment, its controller gain 4 life*
16.5059	Sword of Feast and Famine	implemented
16.4505	Baneslayer Angel	implemented
16.4395	Oblivion Ring	complex rules dealing with bringing back exile permanent
16.2773	Bloodbraid Elf	uses cascade
16.0302	Nest Invader	when enters bf, put 0/1 Eldrazi spawn token*
15.9594	Spreading Seas	enchant land to island*
15.744	Ponder	look at cards in lib
15.6908	Ajani's Pridemate	gain life event happen, put +1/+1* 
15.6709	Arbor Elf	untap target forest*
15.634	Divine Offering	destroy target artifact, you gain life equal to cmc*
15.5965	Elvish Archdruid	tap for green for each elf you control*
15.542	Brave the Elements	choose a color
15.4906	Wurmcoil Engine	implemented
15.4671	Soul's Attendant	whenever another creature enter bf, gain one life*
15.4185	Wall of Omens	defender, draw card when it enters battlefield*
15.4092	Glint Hawk	when it enters bf, sac it unless you bounce an artifact*
15.3116	Steppe Lynx	implemented
15.3038	Evolving Wilds	search lib
15.1827	Copperline Gorge	implemented
14.9795	Teetering Peaks	land, effect on entering bf, tap for red*
14.945	Galvanic Blast	deal 2 damage to player or creature, 4 if you control three or more artifacts*
14.9343	Contested War Zone	keeps changing controller
14.8879	Green Sun's Zenith	search lib
14.8434	Plated Geopede	landfall get +2/+2 until EOT*
14.7894	Figure of Destiny	can be upgraded...
14.6617	Swords to Plowshares	implemented
14.6581	Qasali Pridemage	implemented
14.6403	Manic Vandal	when enters bf, destroy target artifact*
14.5572	Ranger of Eos	search lib
14.5225	Necropede	infect, when dies put -1/-1 on target creature*
14.5088	Gatekeeper of Malakir	if it was kicked, target player sac creature*
14.4493	Jace Beleren	planeswalker
14.4198	Elspeth, Knight-Errant	planeswalker
14.1307	Disfigure	implemented
14.1263	Bloodghast	comment
13.7757	Slagstorm	comment
13.7596	Daze	alternative casting cost of returning on island to owner hand
13.506	Kor Skyfisher	comment
13.4512	Goblin Bushwhacker	implemented
13.2696	Mutavault	land that can change into 2/2 creature with all creature types*
13.1175	Spikeshot Elder	comment
13.0831	Leatherback Baloth	implemented
12.9896	Stirring Wildwood	implemented
12.9046	Kitchen Finks	implemented
12.7819	Into the Roil	implemented
12.6923	Inferno Titan	comment
12.6269	Glimmerpost	comment
12.5284	Honor of the Pure	comment
12.4512	Burrenton Forge-Tender	reinforce keyword
12.4177	Pithing Needle	name a card
12.3892	Hero of Bladehold	implemented
12.3023	Oracle of Mul Daya	comment
12.2976	Umezawa's Jitte	choose one of three effects
12.0861	Condemn	put attacking creature on bottom of lib, conroller gain life*
12.0336	Molten-Tail Masticore	comment
11.9329	Stoic Rebuttal	comment
11.8705	Sword of Body and Mind	implemented
11.8198	Revoke Existence	comment
11.8073	Serra Ascendant	comment
11.7151	Journey to Nowhere	comment
11.6962	Goblin Ruinblaster	implemented
11.6537	Leonin Relic-Warder	comment
11.5788	Steel Overseer	comment
11.4397	Oran-Rief, the Vastwood	comment
11.3656	Goblin Chieftain	implemented
11.3122	Garruk Wildspeaker	planeswalker
11.2326	Hero of Oxid Ridge	comment
11.1874	Mental Misstep	comment
11.1147	Windswept Heath	search lib
11.0699	Great Sable Stag	implemented
11.0608	Lavaclaw Reaches	comment
10.9931	Repeal	comment
10.8534	Leonin Arbiter	comment
10.7696	Tempered Steel	comment
10.7473	Emrakul, the Aeons Torn	comment
10.7127	Eldrazi Monument	implemented
10.6811	Refraction Trap	comment
10.6588	Ember Hauler	implemented
10.6399	Quest for the Holy Relic	comment
10.6294	Harrow	comment
10.6189	Coralhelm Commander	comment
10.5767	Grasp of Darkness	implemented
10.5491	Fireball	comment
10.5102	Frost Titan	comment
10.3853	Flooded Strand	search lib
10.2824	Snow-Covered Island	comment
10.2466	Glint Hawk Idol	comment
10.2465	Spellskite	comment
10.2326	Plague Myr	implemented
10.1996	Searing Blaze	multiple targets
10.1365	Tundra	comment
10.0533	Vampire Lacerator	comment
10.0216	Joraga Warcaller	comment
9.98367	Pulse Tracker	comment
9.93898	Rampant Growth	search lib
9.89722	Sun Titan	comment
9.88328	Volcanic Fallout	implemented
9.82206	Leyline of Vitality	comment
9.75576	Basilisk Collar	implemented
9.72495	Vampire Hexmage	implemented
9.69145	Phyrexian Metamorph	comment
9.67581	Shatter	comment
9.66396	Ezuri, Renegade Leader	comment
9.5843	Vines of Vastwood	implemented
9.57369	Vampire Nighthawk	implemented
9.56193	Tarmogoyf	p/t eq to number of card types in all graveyards*
9.42161	Lone Missionary	implemented
9.42034	Volition Reins	comment
9.37279	Unified Will	comment
9.35966	Goblin Wardriver	implemented
9.10513	Mishra's Factory	comment
9.08353	Splinter Twin	comment
9.07795	Viridian Corrupter	comment
9.04708	Bloodstained Mire	search lib
9.04083	Bitterblossom	implemented
8.92873	Luminarch Ascension	quest counter
8.90456	Thoughtcast	comment
8.89238	War Priest of Thune	comment
8.76327	Shrine of Loyal Legions	comment
8.75917	Precursor Golem	comment
8.7033	Voltaic Key	comment
8.64708	Kuldotha Phoenix	comment
8.6426	Avenger of Zendikar	comment
8.64132	Submerge	comment
8.53798	Tidehollow Sculler	reveal hand
8.52785	Relic of Progenitus	exit card from graveyard or all graveyards*
8.42758	Ajani Vengeant	planeswalker
8.42599	Kiln Fiend	comment
8.42008	Kabira Crossroads	comment
8.40761	Kuldotha Rebirth	comment
8.34339	Darksteel Citadel	comment
8.2994	Wall of Tanglecord	comment
8.29105	Student of Warfare	implemented
8.28207	Krosan Grip	comment
8.26766	Ajani Goldmane	comment
8.24541	Linvala, Keeper of Silence	comment
8.20409	Grave Titan	implemented
8.14395	Kor Duelist	comment
8.13387	Mortarpod	comment
8.13152	Virulent Wound	comment
8.1115	Polluted Delta	search lib
8.05276	Throne of Geth	comment
8.03346	Groundswell	comment
8.03224	Hideous End	implemented
8.01454	Sunpetal Grove	implemented
8.00339	Leyline of the Void	if in opening hand may begin with it on bf, cards are exiled instead of going to battlefield
7.99247	Skinrender	implemented
7.98042	Spectral Procession	comment
7.9413	Dark Ritual	comment
7.93949	Glimmerpoint Stag	comment
7.91605	Kalastria Highborn	comment
7.88879	Grim Lavamancer	comment
7.8804	Suture Priest	implemented
7.8804	Inquisitor Exarch	comment
7.86627	Vendilion Clique	comment
7.86275	Phyrexian Vatmother	implemented
7.85557	Leyline of Sanctity	comment
7.82853	Genesis Wave	comment
7.80078	Mimic Vat	comment
7.79346	Dark Confidant	reveal lib
7.78786	Carrion Call	comment
7.77776	Kor Outfitter	comment
7.73594	Sylvok Lifestaff	implemented
7.71445	Wooded Foothills	search lib
7.66428	Ichor Wellspring	comment
7.54905	Argentum Armor	comment
7.52455	Dark Tutelage	comment
7.50178	Deprive	comment
7.49737	Putrefax	comment
7.49588	Dismember	comment
7.49548	Consecrated Sphinx	comment
7.49158	Awakening Zone	implemented
7.48875	Myr Battlesphere	comment
7.47991	Kuldotha Forgemaster	comment
7.4661	Sign in Blood	implemented
7.43568	Cultivate	comment
7.34261	Llawan, Cephalid Empress	comment
7.3217	Brittle Effigy	implemented
7.25702	Eldrazi Temple	comment
7.2409	Tezzeret's Gambit	comment
7.2343	Accorder Paladin	implemented
7.20704	Death's Shadow	comment
7.19231	Chimeric Mass	implemented
7.19169	Lord of Atlantis	comment
7.18991	Growth Spasm	comment
7.18116	Viscera Seer	comment
7.18057	Earthquake	implemented
7.14644	Silvergill Adept	comment
7.14644	Merrow Reejerey	comment
7.10861	Devastating Summons	comment
7.10316	Horizon Canopy	comment
7.10106	Palladium Myr	comment
7.08071	Sower of Temptation	gain control as long as SoT in play*
7.03592	Windbrisk Heights	comment
7.03161	Rootbound Crag	implemented
7.02159	Myr Superion	comment
6.98173	Primal Bellow	comment
6.9758	Prophetic Prism	comment
6.95561	Consume the Meek	comment
6.95471	Twisted Image	comment
6.91798	Naturalize	implemented
6.82014	Underground Sea	comment
6.81685	Seat of the Synod	comment
6.74858	Cursecatcher	implemented
6.74448	Sunken Ruins	mana pool
6.69733	Kozilek's Predator	comment
6.6755	Calcite Snapper	comment
6.67344	Loam Lion	comment
6.66339	Contagion Engine	comment
6.65645	Warren Instigator	comment
6.64478	Khalni Heart Expedition	comment
6.62056	Lead the Stampede	comment
6.61643	Tropical Island	comment
6.61643	Ancient Tomb	comment
6.59855	Assault Strobe	comment
6.58037	Trinket Mage	comment
6.57918	Snow-Covered Plains	comment
6.56824	Emeria, the Sky Ruin	comment
6.56693	Savannah	comment
6.5304	Dispense Justice	comment
6.52796	Hex Parasite	comment
6.4704	Molder Beast	comment
6.43841	Bloodchief Ascension	comment
6.43439	Volcanic Island	comment
6.39188	Hymn to Tourach	comment
6.35292	Frogmite	comment
6.34595	Pilgrim's Eye	comment
6.32664	Arcbound Ravager	comment
6.32491	Viridian Emissary	comment
6.3229	Iron Myr	comment
6.31931	Kird Ape	comment
6.30852	Wild Nacatl	get +1/+1 for a mountain, get +1/+1 for a plain*
6.30122	Glimmervoid	comment
6.28325	Kargan Dragonlord	comment
6.26034	Manabarbs	comment
6.24967	Flayer Husk	implemented
6.24322	Volt Charge	comment
6.23248	Nissa's Chosen	comment
6.22471	Great Furnace	comment
6.22059	Nissa Revane	comment
6.21249	Copperhorn Scout	comment
6.20501	Vault of Whispers	comment
6.17692	Vendetta	comment
6.16236	Ichorclaw Myr	comment
6.16153	Birthing Pod	comment
6.1508	Ethersworn Canonist	each player can only play 1 nonartifact spell a turn*
6.14937	Hydroblast	comment
6.14698	Spell Snare	comment
6.14464	Spellstutter Sprite	comment
6.088	Mother of Runes	comment
6.08483	Sylvok Replica	comment
6.05148	Compulsive Research	comment
6.0233	Gaea's Revenge	comment
6.02078	Merfolk Sovereign	comment
6.01821	Ulamog, the Infinite Gyre	comment
6.00378	Liliana Vess	comment
5.98128	Aether Vial	comment
5.92266	White Knight	implemented
5.9175	Cystbearer	implemented
5.899	Oust	comment
5.88938	Sejiri Steppe	comment
5.88936	Worldly Tutor	comment
5.88677	Smother	implemented
5.87566	Jinxed Idol	comment
5.87455	Secluded Glen	comment
5.87165	Panic Spellbomb	comment
5.86896	Forked Bolt	comment
5.86155	Red Sun's Zenith	comment
5.80669	Adventuring Gear	comment
5.80116	Black Lotus	comment
5.73717	Myr Enforcer	comment
5.69442	Faerie Macabre	comment
5.6858	Dispel	comment
5.68067	City of Traitors	comment
5.65949	Tormod's Crypt	exile all cards from target graveyard*
5.62429	Nantuko Shade	implemented
5.60241	Scrubland	comment
5.59528	Dragon's Claw	comment
5.59043	Kor Sanctifiers	comment
5.55888	Consuming Vapors	comment
5.55193	Blue Sun's Zenith	comment
5.54313	Punishing Fire	comment
5.53664	Bant Charm	choose one of three effects
5.53639	Skithiryx, the Blight Dragon	implemented
5.5263	Channel	comment
5.51925	Pyroblast	target blue spell/permanent (if spell counter, if permanent destory)*
5.49932	Counterspell	implemented
5.47298	Nihil Spellbomb	comment
5.46005	Pawn of Ulamog	comment
5.43961	Mindbreak Trap	comment
5.42625	Foresee	comment
5.42232	Remand	implemented
5.41236	All Is Dust	comment
5.40887	Cascade Bluffs	comment
5.40593	Steel Sabotage	comment
5.40438	Perilous Myr	implemented
5.39879	Shivan Reef	comment
5.39859	Plummet	implemented
5.3835	Firespout	different effect depending on mana spent to cast it
5.3738	Destructive Force	comment
5.35092	Master of Etherium	comment
5.34715	Silver Myr	comment
5.32428	Tajuru Preserver	comment
5.31431	Grand Architect	comment
5.30311	Prismatic Omen	comment
5.27173	Lux Cannon	comment
5.25432	Lightning Helix	implemented
5.23691	Mistbind Clique	comment
5.23527	Tuktuk the Explorer	implemented
5.19672	Oxidda Scrapmelter	comment
5.17636	Sphinx of Lost Truths	implemented
5.15398	Thirst for Knowledge	complex discard
5.13166	Indomitable Archangel	comment
5.12813	Gold Myr	comment
5.10518	Cursed Scroll	comment
5.06891	Treasure Hunt	comment
5.05005	Snow-Covered Mountain	snow
5.03325	Chrome Mox	imprint, add mana from color of imprinted card*
5.03211	Mindslaver	comment
5.01757	Scapeshift	comment
5.01749	Thrun, the Last Troll	implemented
5.00778	Fling	comment
4.99366	Furnace Celebration	comment
4.99011	Incinerate	implemented
4.98872	Deathmark	comment
4.96143	Soul Warden	comment
4.93347	Autumn's Veil	comment
4.92869	Elvish Visionary	draw a card when it enters*
4.92667	Conqueror's Pledge	comment
4.91942	Springleaf Drum	comment
4.90104	Neurok Commando	comment
4.90104	Fuel for the Cause	comment
4.89242	Flooded Grove	comment
4.882	Fume Spitter	implemented
4.87815	Jace's Ingenuity	comment
4.8699	Corpse Cur	comment
4.86764	Nettle Sentinel	comment
4.86257	Batterskull	implemented
4.85167	Pelakka Wurm	implemented
4.82423	Smoldering Spires	comment
4.80205	Heritage Druid	comment
4.75939	Mulldrifter	alternate casting cost
4.7543	Kataki, War's Wage	comment
4.74197	Leaden Myr	comment
4.7169	Argent Sphinx	comment
4.68657	Malakir Bloodwitch	comment
4.68319	Liquimetal Coating	comment
4.68319	Hoard-Smelter Dragon	comment
4.65431	Kemba, Kha Regent	comment
4.64903	Reflecting Pool	add mana depending on lands you control
4.63696	Master's Call	comment
4.63537	Fog	comment
4.63438	Flickerwisp	comment
4.6109	Mystic Gate	mana pool
4.60752	Snow-Covered Forest	comment
4.60193	Combust	comment
4.59007	Chromatic Sphere	comment
4.58062	River Boa	implemented
4.56966	Vindicate	implemented
4.56338	Act of Treason	comment
4.54948	Chain Lightning	comment
4.5128	Steam Vents	implemented
4.50076	Flame Slash	implemented
4.48695	Devout Lightcaster	comment
4.48677	Disperse	comment
4.48054	Contagious Nim	implemented
4.46384	Bestial Menace	implemented
4.45088	Marsh Casualties	implemented
4.44266	Sejiri Refuge	implemented
4.44027	Dross Ripper	comment
4.43385	Deep Analysis	comment
4.42427	Iona, Shield of Emeria	comment
4.42019	Pestermite	comment
4.40154	Demystify	comment
4.3805	Runeflare Trap	comment
4.35956	Knight Exemplar	implemented
4.35189	Meddling Mage	comment
4.35159	Plague Stinger	implemented
4.32766	Enclave Cryptologist	comment
4.32495	Phyrexian Rager	implemented
4.32119	Wolfbriar Elemental	implemented
4.31902	Standstill	comment
4.31861	Darksteel Axe	comment
4.30527	Eldrazi Conscription	comment
4.30414	Vector Asp	comment
4.30108	Intuition	comment
4.28469	Blight Mamba	comment
4.2813	Nightscape Familiar	comment
4.27551	Galina's Knight	implemented
4.27387	Gaddock Teeg	prevent spells from being cast*
4.2734	Sunscape Familiar	comment
4.27121	Frantic Search	comment
4.27121	Cloud of Faeries	comment
4.26747	Sea Gate Oracle	comment
4.25845	Necrogen Scudder	comment
4.25135	Bojuka Bog	comment
4.24752	Narcolepsy	implemented
4.24317	Disciple of the Vault	comment
4.23718	Treasure Mage	comment
4.23407	Natural Order	comment
4.23345	Cancel	comment
4.21617	Chandra Nalaar	comment
4.21166	Oxidize	comment
4.20141	Renegade Doppelganger	comment
4.20106	Myrsmith	comment
4.19365	Trygon Predator	implemented
4.16923	Vulshok Replica	comment
4.16559	Guul Draz Vampire	implemented
4.15458	Origin Spellbomb	comment
4.14683	Leyline of Anticipation	comment
4.13373	Overwhelming Stampede	implemented
4.13227	Silence	comment
4.11627	Creeping Corrosion	comment
4.10548	Sphinx of Jwar Isle	comment
4.09533	Mystifying Maze	comment
4.09406	Temple Bell	comment
4.07426	Vulshok Heartstoker	comment
4.03332	Bellowing Tanglewurm	implemented
4.00498	Heavy Arbalest	comment
3.99889	Sunspear Shikari	comment
3.96976	Blinkmoth Nexus	comment
3.96575	Snap	comment
3.95696	Black Knight	implemented
3.95146	Emerge Unscathed	comment
3.94588	Traitorous Instinct	comment
3.94543	Glissa's Courier	implemented
3.94543	Blistergrub	comment
3.93538	Prototype Portal	comment
3.93353	Tunnel Ignus	comment
3.93086	Eye of Ugin	comment
3.92694	Survival Cache	comment
3.92109	Sword of War and Peace	implemented
3.92084	Corrupted Conscience	comment
3.9129	Bloodthrone Vampire	comment
3.91221	Taiga	comment
3.90661	Cranial Plating	comment
3.90644	Hada Freeblade	comment
3.90567	Scute Mob	comment
3.86677	Strata Scythe	comment
3.86149	Hornet Sting	comment
3.85836	Salvage Scout	comment
3.84779	Mnemonic Wall	implemented
3.8432	Kemba's Skyguard	comment
3.84238	Immolating Souleater	comment
3.84238	Gitaxian Probe	comment
3.84163	Elspeth Tirel	comment
3.82729	Abyssal Persecutor	comment
3.82485	Kazandu Blademaster	comment
3.82468	Skyshroud Elite	comment
3.82275	Strip Mine	comment
3.82101	Oran-Rief Survivalist	comment
3.81603	Graypelt Refuge	implemented
3.81148	Fetid Heath	comment
3.81103	Dimir Aqueduct	comment
3.8109	Mitotic Slime	comment
3.80396	Dispatch	comment
3.78262	Hedron Crab	comment
3.77441	Beastmaster Ascension	comment
3.77097	Thorn of Amethyst	comment
3.76881	Wildfire	comment
3.76506	Platinum Emperion	comment
3.76506	Blightsteel Colossus	comment
3.76172	Instill Infection	comment
3.75658	Mind Sludge	comment
3.75524	Sylvan Ranger	comment
3.73322	Dreadship Reef	comment
3.72679	Fire Diamond	comment
3.72038	Underground River	comment
3.71942	Riddlesmith	comment
3.71727	Tel-Jilad Fallen	comment
3.71149	Copper Myr	comment
3.71096	Omnath, Locus of Mana	comment
3.70269	Vedalken Certarch	comment
3.69482	Distortion Strike	comment
3.69384	Thran Dynamo	comment
3.69026	Grim Monolith	comment
3.6885	Awakener Druid	comment
3.68667	Temporal Aperture	comment
3.68667	Spellshock	comment
3.68667	Covetous Dragon	comment
3.68298	Engineered Explosives	depends on mana used to play it
3.68151	Kozilek, Butcher of Truth	comment
3.66086	Runed Halo	comment
3.64986	Viridian Revel	comment
3.63981	Auriok Replica	comment
3.63241	Oculus	comment
3.63241	Gust-Skimmer	comment
3.62414	Sadistic Sacrament	comment
3.62236	Turn to Slag	comment
3.62236	Spread the Sickness	comment
3.61753	Deceiver Exarch	comment
3.61444	Unstable Footing	comment
3.61231	Golem Foundry	comment
3.61231	Goblin Gaveleer	implemented
3.61199	Demon of Death's Gate	comment
3.59834	Accorder's Shield	implemented
3.58698	Akoum Battlesinger	comment
3.58135	Beast Within	comment
3.57613	Show and Tell	comment
3.57363	Hammer of Ruin	comment
3.56817	Quirion Ranger	comment
3.56722	Kabira Evangel	comment
3.5635	Molten Psyche	comment
3.55692	Tree of Tales	comment
3.55637	Arc Runner	comment
3.55234	Gigantiform	comment
3.55092	Rampaging Baloths	implemented
3.54554	Glistener Elf	implemented
3.54508	Heartstabber Mosquito	comment
3.54475	Ricochet Trap	comment
3.54181	Terravore	comment
3.54114	Sleep	implemented
3.53549	Elite Vanguard	implemented
3.52224	Talus Paladin	comment
3.51084	Terastodon	comment
3.51008	Fresh Meat	comment
3.50772	Pacifism	implemented
3.50155	Ob Nixilis, the Fallen	comment
3.48862	Steel Hellkite	comment
3.48778	Esper Charm	choose one of three effects
3.48514	Hyena Umbra	implemented
3.47614	Cosi's Trickster	comment
3.47498	Shrine of Burning Rage	implemented
3.47076	See Beyond	comment
3.47034	Wall of Frost	implemented
3.46674	Battle of Wits	comment
3.45547	Kira, Great Glass-Spinner	comment
3.44668	Masticore	comment
3.4461	Scroll Thief	comment
3.44346	Dread Statuary	comment
3.44054	Myr Turbine	comment
3.44054	Carapace Forger	comment
3.44053	Unsummon	implemented
3.4321	Halt Order	comment
3.43184	Time Reversal	comment
3.43184	Semblance Anvil	comment
3.42391	Tangle Angler	comment
3.42388	Mul Daya Channelers	comment
3.42169	Blackcleave Goblin	implemented
3.41686	Strider Harness	implemented
3.41511	Soliton	comment
3.41503	Rite of Replication	implemented
3.40583	Goblin Arsonist	comment
3.40487	Harabaz Druid	comment
3.40289	Blade of the Bloodchief	comment
3.37862	Plateau	comment
3.37239	Nim Deathmantle	comment
3.37239	Flesh Allergy	comment
3.36465	Quest for the Gravelord	implemented
3.36465	Mortician Beetle	comment
3.36465	Death Cultist	comment
3.36234	Moriok Reaver	implemented
3.35347	Razor Hippogriff	comment
3.35125	Urge to Feed	comment
3.34342	Whitesun's Passage	comment
3.34342	Razorfield Thresher	comment
3.34342	Blade-Tribe Berserkers	comment
3.34099	Royal Trooper	comment
3.33912	Vinelasher Kudzu	comment
3.33832	Arrest	comment
3.33806	Squire	comment
3.33806	Royal Herbalist	comment
3.33806	Royal Falcon	comment
3.33806	Kjeldoran Royal Guard	comment
3.33806	Castle Raptors	comment
3.33484	Cruel Ultimatum	comment
3.3345	Garruk's Companion	implemented
3.32829	Reverberate	comment
3.31545	Mind Control	comment
3.31209	Phyrexian Rebirth	comment
3.31209	Phyrexian Juggernaut	implemented
3.31209	Phyrexian Hydra	comment
3.31209	Phyrexian Digester	implemented
3.31164	Pyretic Ritual	comment
3.30898	Archive Trap	comment
3.30733	Necrotic Ooze	comment
3.30608	Kor Cartographer	comment
3.30588	Hypnotic Specter	implemented
3.30467	Eladamri's Call	comment
3.29354	Ondu Cleric	comment
3.29277	Roil Elemental	comment
3.29161	Whispersilk Cloak	implemented
3.26918	Expedition Map	comment
3.26614	Giant Growth	implemented
3.26448	Siege-Gang Commander	implemented
3.25032	Drain Life	comment
3.23336	Contaminated Ground	comment
3.22166	Mold Shambler	comment
3.21251	Tel-Jilad Defiance	comment
3.21147	Nevinyrral's Disk	comment
3.20951	Untamed Might	comment
3.20245	Sarkhan the Mad	comment
3.19768	Serrated Arrows	implemented
3.19224	Spine of Ish Sah	comment
3.18488	Emeria Angel	comment
3.18242	Watery Grave	implemented
3.18117	Triskelion	comment
3.17623	Blood Seeker	comment
3.17446	Æther Vial	comment
3.17354	Akoum Refuge	implemented
3.17221	Elephant Grass	comment
3.17185	Trigon of Corruption	comment
3.1686	Sensei's Divining Top	comment
3.16528	Impulse	comment
3.16225	Zektar Shrine Expedition	comment
3.16092	Necrogen Censer	comment
3.15917	Augury Owl	comment
3.15533	Summoner's Pact	comment
3.1535	Lodestone Golem	comment
3.15295	Transcendent Master	comment
3.15192	Elemental Appeal	comment
3.15117	Maelstrom Pulse	implemented
3.14914	Priest of Titania	comment
3.14497	Alpha Tyrranax	implemented
3.14316	Sedraxis Specter	comment
3.14182	Knight of the White Orchid	comment
3.13556	Hellspark Elemental	comment
3.13492	Safe Passage	implemented
3.13398	Oran-Rief Recluse	comment
3.13093	Bloodhusk Ritualist	comment
3.12996	Infiltration Lens	comment
3.12843	Rest for the Weary	comment
3.12752	Vedalken Anatomist	comment
3.12752	Vault Skyward	implemented
3.12752	Turn the Tide	implemented
3.12752	Tangle Hulk	comment
3.12752	Scoria Elemental	implemented
3.12752	Saberclaw Golem	comment
3.12752	Rot Wolf	comment
3.12752	Razorfield Rhino	comment
3.12752	Plated Seastrider	implemented
3.12752	Piston Sledge	comment
3.12752	Oxidda Daredevil	comment
3.12752	Ogre Resister	comment
3.12752	Mirran Spy	comment
3.12752	Melira's Keepers	comment
3.12752	Magnetic Mine	comment
3.12752	Loxodon Partisan	implemented
3.12752	Kuldotha Ringleader	implemented
3.12752	Kuldotha Flamefiend	comment
3.12752	Hexplate Golem	comment
3.12752	Ghalma's Warden	comment
3.12752	Frantic Salvage	comment
3.12752	Flensermite	implemented
3.12752	Fangren Marauder	comment
3.12752	Copper Carapace	comment
3.12752	Concussive Bolt	comment
3.12752	Chrome Steed	comment
3.12752	Bonehoard	comment
3.12752	Blisterstick Shaman	comment
3.12752	Blightwidow	implemented
3.12752	Bladed Pinions	implemented
3.12752	Banishment Decree	comment
3.12752	Auriok Sunchaser	comment
3.12752	Acid Web Spider	comment
3.12327	Time Warp	implemented
3.12231	Hand of the Praetors	comment
3.12076	Excommunicate	comment
3.11748	Training Drone	comment
3.11748	Silverskin Armor	comment
3.11748	Psychic Miasma	comment
3.11748	Peace Strider	comment
3.11748	Painful Quandary	comment
3.11748	Lumengrid Gargoyle	implemented
3.11748	Echo Circlet	comment
3.11748	Crush	comment
3.11748	Caustic Hound	comment
3.11748	Carnifex Demon	implemented
3.11748	Bleak Coven Vampires	comment
3.11748	Ardent Recruit	comment
3.11715	Liliana's Caress	comment
3.11367	Stormtide Leviathan	comment
3.11237	Livewire Lash	comment
3.10431	Timbermaw Larva	comment
3.10431	Territorial Baloth	comment
3.10431	Joraga Bard	comment
